Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
25–34,Male,Undergraduate,23093.0,East,<30 mins,"Email, Other, SMS",Electronics,Unlikely,"Discounts/Offers, Product reviews",No,Neutral,315.0,Yes,Very comfortable,"Complicated checkout, Not enough discounts, Slow delivery",Sometimes,5.0,Neutral
55+,Female,High school,33972.0,North,30–60 mins,"Email, Instagram, SMS",Services,Likely,"Personalization, Visual appeal",No,Neutral,900.0,Maybe,Comfortable,"Lack of trust, Others, Too many choices",Sometimes,1.0,Neutral
35–44,Female,Postgraduate,18425.0,East,30–60 mins,Google Ads,Other,Neutral,"Product reviews, Visual appeal",Yes,Neutral,1606.0,Yes,Comfortable,"Others, Slow delivery",Rarely,4.0,Open but cautious
25–34,Female,High school,24934.0,West,30–60 mins,,Electronics,Neutral,"Brand reputation, Friend recommendations",No,Unlikely,499.0,Yes,Uncomfortable,Not enough discounts,Always,3.0,Neutral
18–24,Female,Undergraduate,24927.0,North,30–60 mins,"Email, Google Ads, SMS",Apparel,Likely,"Friend recommendations, Product reviews",Yes,Unlikely,247.0,Yes,Uncomfortable,Too many choices,Rarely,2.0,Skeptical
18–24,Female,Postgraduate,43970.0,East,1–2 hours,"Instagram, Other, SMS",Services,Very likely,"Brand reputation, Discounts/Offers",No,Likely,3832.0,Yes,Neutral,"Lack of trust, Slow delivery",Rarely,1.0,Excited
18–24,Female,Undergraduate,42966.0,East,30–60 mins,Instagram,Apparel,Very likely,"Friend recommendations, Product reviews",Yes,Unlikely,1740.0,Yes,Uncomfortable,"Complicated checkout, Too many choices",Sometimes,1.0,Open but cautious
45–54,Female,Postgraduate,8223.0,South,30–60 mins,"Email, Facebook, Google Ads",Groceries,Likely,"Discounts/Offers, Product reviews",No,Neutral,1353.0,Yes,Uncomfortable,"Complicated checkout, Others, Too many choices",Sometimes,4.0,Neutral
35–44,Male,High school,28976.0,Central/Other,30–60 mins,"Facebook, Instagram, SMS",Electronics,Neutral,"Brand reputation, Friend recommendations",Yes,Likely,674.0,No,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,3.0,Open but cautious
35–44,Male,Undergraduate,11217.0,North,2+ hours,Google Ads,Apparel,Neutral,"Personalization, Visual appeal",No,Likely,1055.0,Maybe,Comfortable,Not enough discounts,Often,1.0,Neutral
Under 18,Male,High school,27109.0,South,2+ hours,"Email, Other",Apparel,Neutral,"Discounts/Offers, Product reviews",Yes,Neutral,697.0,Yes,Neutral,"Complicated checkout, Lack of trust, Others",Sometimes,3.0,Open but cautious
55+,Prefer not to say,High school,12950.0,West,2+ hours,"Email, Facebook",Apparel,Likely,"Discounts/Offers, Friend recommendations",No,Likely,1896.0,Maybe,Comfortable,"Not enough discounts, Others, Too many choices",Sometimes,3.0,Disinterested
45–54,Female,Postgraduate,15940.0,Central/Other,30–60 mins,"Facebook, SMS",Groceries,Neutral,"Friend recommendations, Personalization",No,Very unlikely,1634.0,Yes,Uncomfortable,"Others, Slow delivery",Sometimes,1.0,Excited
18–24,Male,High school,19198.0,North,<30 mins,Other,Services,Very likely,"Friend recommendations, Product reviews",Yes,Likely,1183.0,Yes,Neutral,Lack of trust,Never,3.0,Open but cautious
18–24,Female,Undergraduate,36429.0,East,30–60 mins,"Email, SMS",Apparel,Neutral,"Personalization, Product reviews",No,Neutral,1498.0,Yes,Very uncomfortable,Slow delivery,Sometimes,4.0,Excited
18–24,Female,Undergraduate,13811.0,North,30–60 mins,"Email, SMS",Services,Neutral,"Friend recommendations, Visual appeal",No,Likely,1283.0,No,Neutral,"Slow delivery, Too many choices",Often,1.0,Excited
25–34,Male,Undergraduate,30274.0,East,1–2 hours,"Other, SMS",Apparel,Neutral,"Friend recommendations, Product reviews",Yes,Very likely,536.0,Yes,Very uncomfortable,Lack of trust,Never,4.0,Open but cautious
